City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Severo-Kurilsk,RU,50.6789,156.125,31.89,94,88,14.7,overcast clouds
Carnarvon,AU,-24.8667,113.6333,87.8,62,0,16.11,clear sky
Nikel,RU,69.4128,30.222,24.8,86,40,17.27,snow
Vaini,TO,-21.2,-175.2,75.2,94,20,2.3,few clouds
San Quintin,MX,30.4833,-115.95,54,86,0,8.57,clear sky
Cherskiy,RU,68.75,161.3,-13.02,82,52,3.87,broken clouds
Gilgit,PK,35.9221,74.3087,51.57,64,100,2.04,overcast clouds
San Rafael Abajo,CR,9.831,-84.2901,68,77,0,8.05,clear sky
Cape Town,ZA,-33.9258,18.4232,71.01,64,20,14.97,few clouds
Avarua,CK,-21.2078,-159.775,78.8,83,75,10.36,light rain
Barrow,US,71.2906,-156.7887,-7.6,84,90,9.22,overcast clouds
Kapaa,US,22.0752,-159.319,69.8,83,75,18.41,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,75.29,89,80,16.91,broken clouds
Ancud,CL,-41.8697,-73.8203,46,81,0,5.75,clear sky
Mar Del Plata,AR,-38.0023,-57.5575,59,82,90,6.91,mist
Artyom,AZ,40.4723,50.333,51.8,87,40,16.11,scattered clouds
Hukuntsi,BW,-24,21.75,82.56,43,6,6.33,clear sky
Tezu,IN,27.9167,96.1667,95.22,13,0,4.34,clear sky
Da Nang,VN,16.0678,108.2208,84.2,65,20,9.22,few clouds
Kodinsk,RU,58.6881,99.1844,24.66,87,100,8.57,overcast clouds
Ust-Ilimsk,RU,58.0006,102.6619,23.5,85,100,7.34,overcast clouds
Altay,CN,47.8667,88.1167,13.48,89,92,3.24,overcast clouds
New Norfolk,AU,-42.7826,147.0587,64.99,63,20,14.97,few clouds
Port Blair,IN,11.6667,92.75,86.32,57,0,10.09,clear sky
Malard,IR,35.6659,50.9767,68,37,75,6.91,haze
Aklavik,CA,68.2191,-135.0107,-2.2,71,10,2.3,clear sky
Forestville,US,38.8451,-76.875,48.2,100,90,9.22,mist
Khatanga,RU,71.9667,102.5,-22.99,87,7,4.23,clear sky
Padina,RS,45.1181,20.7272,37.4,100,75,11.5,moderate rain
Bluff,NZ,-46.6,168.3333,55.99,80,43,1.01,scattered clouds
Punta Arenas,CL,-53.15,-70.9167,48.2,71,75,11.5,broken clouds
Saint Pete Beach,US,27.7253,-82.7412,72,1,0,1.01,clear sky
Ambilobe,MG,-13.2,49.05,88.93,68,81,2.64,moderate rain
Whitehorse,CA,60.7161,-135.0538,28.4,74,75,13.8,snow
Ganzhou,CN,28.8184,115.4327,62.92,89,91,8.12,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,55.31,81,0,8.5,clear sky
Talcahuano,CL,-36.7167,-73.1167,57.2,88,90,4.61,overcast clouds
Bulgan,MN,48.8125,103.5347,27.07,47,99,6.42,overcast clouds
Labuhan,ID,-6.8844,112.2051,84.42,74,100,8.48,overcast clouds
Kavaratti,IN,10.5669,72.642,83.44,66,82,5.7,broken clouds
Smithers,CA,54.7804,-127.1743,35.6,75,40,3.44,scattered clouds
Qaanaaq,GL,77.484,-69.3632,-16.01,86,8,5.57,clear sky
Lompoc,US,34.6391,-120.4579,46.4,87,20,3.85,few clouds
Caravelas,BR,-17.7125,-39.2481,72.18,94,3,3.51,clear sky
Apatity,RU,67.5641,33.4031,17.24,85,100,6.53,overcast clouds
Mount Darwin,ZW,-16.7725,31.5838,79,59,50,4.94,scattered clouds
Puerto Ayora,EC,-0.7393,-90.3518,73,94,11,5.93,few clouds
Albany,US,42.6001,-73.9662,39,74,100,3.27,overcast clouds
Jamestown,US,42.097,-79.2353,44.01,75,90,4.52,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,66.2,39,20,12.66,few clouds
Pisco,PE,-13.7,-76.2167,68,77,0,6.91,clear sky
Aykhal,RU,66,111.5,11.48,90,100,24.94,overcast clouds
Bathsheba,BB,13.2167,-59.5167,77,65,40,13.8,scattered clouds
Alice Springs,AU,-23.7,133.8833,82.4,28,96,16.11,overcast clouds
Tiksi,RU,71.6872,128.8694,-24.38,94,100,5.64,overcast clouds
Ambositra,MG,-20.5167,47.25,73.87,72,81,7.2,broken clouds
Cayenne,GF,4.9333,-52.3333,78.01,100,100,2.3,overcast clouds
Norman Wells,CA,65.282,-126.8329,-9.4,84,40,2.8,light snow
Fort-Shevchenko,KZ,44.5086,50.263,47.43,74,0,13.35,clear sky
Hilo,US,19.7297,-155.09,68,88,90,9.22,light rain
Gopalur,IN,16.6167,77.8,99.16,15,5,5.59,clear sky
Busselton,AU,-33.65,115.3333,86,62,28,7,scattered clouds
Atuona,PF,-9.8,-139.0333,80.13,78,90,10.63,overcast clouds
Ilulissat,GL,69.2167,-51.1,14,79,75,10.36,light snow
Wattegama,LK,6.7989,81.4808,84.2,74,90,6.91,moderate rain
Hithadhoo,MV,-0.6,73.0833,83.8,66,83,7.14,broken clouds
Waipawa,NZ,-41.4122,175.5153,55.4,62,3,3.44,clear sky
Belluno,IT,46.145,12.2214,44.6,42,20,2.3,few clouds
Husavik,IS,66.0449,-17.3389,50,62,0,24.16,clear sky
East London,ZA,-33.0153,27.9116,75.88,75,77,15.3,broken clouds
Salalah,OM,17.0151,54.0924,82.4,57,0,11.5,clear sky
Lagoa,PT,39.05,-27.9833,58.15,82,100,20.92,overcast clouds
Sisimiut,GL,66.9395,-53.6735,7.34,95,100,10.29,overcast clouds
Edd,ER,13.9297,41.6925,92.48,34,51,16.33,broken clouds
Maraba,BR,-5.3686,-49.1178,75.2,100,90,1.14,overcast clouds
Talnakh,RU,69.4865,88.3972,-19.68,91,39,11.36,scattered clouds
Benghazi,LY,32.1167,20.0667,59.47,47,13,8.28,few clouds
Oleksandrivka,UA,48.9634,32.2349,35.98,85,100,11.59,overcast clouds
Vardo,NO,70.3705,31.1107,24.8,93,75,26.46,light snow
College,US,64.8569,-147.8028,10.4,56,75,8.05,light snow
Greytown,ZA,-29.0642,30.5928,77.56,56,25,0.83,scattered clouds
Marostica,IT,45.7468,11.6579,48.99,51,58,4.34,broken clouds
Saint George,US,37.1041,-113.5841,50,81,1,5.75,clear sky
Dingli,MT,35.8614,14.3822,55.99,93,75,9.22,broken clouds
Gravdal,NO,68.1214,13.5031,28.4,59,0,6.91,clear sky
Bosaso,SO,11.2842,49.1816,80.6,74,0,14.97,clear sky
Lebu,CL,-37.6167,-73.65,51.78,85,0,5.97,clear sky
Kodiak,US,57.79,-152.4072,35.6,44,40,23.02,scattered clouds
Kraksaan,ID,-7.7585,113.3962,84.58,72,96,0.51,overcast clouds
Jinka,ET,5.65,36.65,82.9,44,99,3.76,light rain
Olavarria,AR,-36.8927,-60.3225,45,90,7,6.93,clear sky
Kokopo,PG,-4.352,152.2633,80.1,76,39,3.67,scattered clouds
Tevaitoa,PF,-16.7833,-151.5,82.35,74,20,9.75,few clouds
Preobrazheniye,RU,42.9019,133.9064,37.18,51,0,7.05,clear sky
Touros,BR,-5.1989,-35.4608,75.2,94,20,2.3,few clouds
Cam Ranh,VN,11.9214,109.1591,84.2,74,20,13.8,few clouds
Karpathos,GR,35.507,27.2132,60.8,41,20,21.85,few clouds
Butaritari,KI,3.0707,172.7902,82.06,77,56,11.63,broken clouds
Luderitz,NA,-26.6481,15.1594,70,62,0,11.07,clear sky
Pevek,RU,69.7008,170.3133,-24.41,98,0,4.18,clear sky
Ostrovnoy,RU,68.0531,39.5131,13.5,86,16,2.68,few clouds
Rio De Janeiro,BR,-22.9028,-43.2075,80.01,88,0,3.44,clear sky
Dingle,PH,10.9995,122.6711,84.49,75,8,9.62,clear sky
Vila,PT,42.0304,-8.1588,46.99,68,1,10,clear sky
Elk Point,US,42.6833,-96.6836,35.01,83,20,12.88,few clouds
Springbok,ZA,-29.6643,17.8865,68,45,0,3.44,clear sky
Navahrudak,BY,53.6,25.8333,30.09,80,100,7.63,overcast clouds
Deputatskiy,RU,69.3,139.9,-32.22,83,0,4.34,clear sky
Nuuk,GL,64.1835,-51.7216,19.4,86,90,12.66,light snow
Fortuna,US,40.5982,-124.1573,53.01,62,90,28.77,overcast clouds
Provideniya,RU,64.3833,-173.3,-7.71,83,0,5.28,clear sky
Myrtle Beach,US,33.6891,-78.8867,55.4,100,90,4.61,overcast clouds
Gat,IL,31.61,34.7642,68,43,4,1.99,clear sky
Wad Rawah,SD,15.1603,33.1397,102.87,13,66,15.43,broken clouds
Ust-Kuyga,RU,70.0167,135.6,-27.67,83,34,5.82,scattered clouds
Bethel,US,41.3712,-73.414,44.6,76,90,2.19,overcast clouds
Nanortalik,GL,60.1432,-45.2371,27.79,80,100,13.56,light snow
Bumba,CD,2.1833,22.4667,72.28,93,99,2.24,overcast clouds
Uniao,BR,-4.5858,-42.8642,71.6,94,90,0.58,heavy intensity rain
Damphu,BT,27.0721,90.1096,78.49,30,21,6.38,few clouds
Moree,AU,-29.4667,149.85,78.8,57,90,10.36,light rain
Santa Ana,US,33.7456,-117.8678,53.6,76,1,3.96,clear sky
Kollam,IN,8.8833,76.6,91.4,58,20,5.75,haze
Santo Tomas,PH,14.1079,121.1414,93.2,55,40,6.91,scattered clouds
Bato,PH,13.3528,123.3677,85.06,73,11,2.21,few clouds
Mahibadhoo,MV,3.7833,72.9667,82.31,71,56,7.29,broken clouds
Tabuk,PH,17.4189,121.4443,80.6,86,65,6.82,broken clouds
Port Augusta,AU,-32.5,137.7667,78.01,53,43,17.27,scattered clouds
Inuvik,CA,68.3499,-133.7218,-2.2,71,37,2.3,scattered clouds
Majene,ID,-3.5403,118.9707,85.08,66,45,6.24,scattered clouds
Kaitangata,NZ,-46.2817,169.8464,46.33,86,0,3.33,clear sky
Flinders,AU,-34.5833,150.8552,70,93,100,15.99,moderate rain
Jieshi,CN,22.8134,115.8257,81,70,6,3,clear sky
Bambous Virieux,MU,-20.3428,57.7575,86,58,40,11.5,scattered clouds
Darhan,MN,49.4867,105.9228,26.67,78,100,8.23,overcast clouds
Santa Rosalia,MX,27.3167,-112.2833,51.15,65,0,4.07,clear sky
Mana,GF,5.6592,-53.7767,75.02,85,81,9.08,broken clouds
Ambon,ID,-3.6954,128.1814,86,74,20,12.66,few clouds
Carpentras,FR,44.0833,5.1667,45,61,58,28.77,broken clouds
Udachnyy,RU,66.4167,112.4,11.62,84,100,19.71,overcast clouds
Matara,LK,5.9485,80.5353,83.62,71,100,7.4,light rain
Muisne,EC,0.6,-80.0333,76.82,86,97,2.77,light rain
Keti Bandar,PK,24.1447,67.4497,84.25,48,0,14.29,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,77,75,9.22,broken clouds
Belchertown,US,42.277,-72.4009,37.4,81,90,4.61,overcast clouds
Trairi,BR,-3.2778,-39.2689,74.77,91,48,4.25,scattered clouds
Kirkenaer,NO,60.4564,12.0582,33.8,60,0,2.3,clear sky
Eyl,SO,7.9803,49.8164,86.45,57,77,17.07,broken clouds
Plouzane,FR,48.3833,-4.6167,46.4,93,0,2.3,clear sky
Kieta,PG,-6.2167,155.6333,80.8,79,52,1.07,broken clouds
Buin,CL,-33.7333,-70.75,59,88,90,5.75,overcast clouds
Castro,BR,-24.7911,-50.0119,61.18,98,89,2.86,overcast clouds
Mayumba,GA,-3.432,10.6554,83.17,71,86,2.44,light rain
Yei,SS,4.095,30.6779,91.2,39,91,4.23,overcast clouds
Pitimbu,BR,-7.4706,-34.8086,75.2,100,20,3.44,few clouds
Torbay,CA,47.6666,-52.7314,19.99,86,90,5.75,light snow
Kuching,MY,1.55,110.3333,75.2,94,40,3.44,light rain
Bereda,ES,43.2686,-7.5406,46.99,87,43,11.01,scattered clouds
Sakakah,SA,29.9697,40.2064,68,28,0,14.97,clear sky
Balabac,PH,7.9868,117.0645,84.7,68,10,6.93,clear sky
Andenes,NO,69.3143,16.1194,26.01,68,40,5.75,scattered clouds
Port Moresby,PG,-9.4431,147.1797,84.2,74,40,13.8,scattered clouds
Rognan,NO,67.0953,15.3878,27,75,0,3.06,clear sky
Waddan,LY,29.1614,16.139,61.38,47,99,20.98,overcast clouds
Livingston,GB,55.9029,-3.5226,50,93,0,8.05,clear sky
Zhuanghe,CN,39.7008,122.9911,48.99,60,94,1.01,overcast clouds
Dzheyrakh,RU,42.8228,44.6756,41,100,90,8.95,overcast clouds
Arica,CL,-18.475,-70.3042,66.2,72,0,4.61,clear sky
Igarka,RU,67.4667,86.5833,-9.63,88,90,12.86,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,81,63,0,1.99,clear sky
San Angelo,US,31.4638,-100.437,44.6,57,1,8.05,clear sky
Clyde River,CA,70.4692,-68.5914,-23.8,76,1,4.61,clear sky
Codrington,AU,-38.2667,141.9667,61.7,84,0,9.44,clear sky
Batagay,RU,67.6333,134.6333,-19.34,92,15,1.83,few clouds
Bima,ID,-8.4667,118.7167,82.99,86,86,2.08,overcast clouds
Baryatino,RU,54.3121,34.521,32.25,95,93,3.24,overcast clouds
Resistencia,AR,-27.4606,-58.9839,68,77,90,8.05,light rain
San Isidro,PE,-12.1167,-77.05,73,83,0,5.75,clear sky
Palmer,US,42.1584,-72.3287,37.4,81,90,4.61,overcast clouds
Katherine,AU,-14.4667,132.2667,82.4,74,40,6.91,scattered clouds
Plettenberg Bay,ZA,-34.0527,23.3716,76.48,60,2,5.08,clear sky
Ahipara,NZ,-35.1667,173.1667,60.98,80,3,9.31,clear sky
Yulara,AU,-25.2406,130.9889,89.6,12,32,11.5,scattered clouds
Banda Aceh,ID,5.5577,95.3222,83.79,72,73,13.18,broken clouds
Becov,CZ,50.4497,13.7178,37,80,82,8.99,broken clouds
Port Macquarie,AU,-31.4333,152.9167,64.99,100,75,5.75,light rain
Falun,SE,60.6036,15.626,37,60,0,10.36,clear sky
Chicama,PE,-7.8447,-79.1469,73.09,73,100,5.5,overcast clouds
Shache,CN,38.4167,77.2406,61.03,6,0,14.99,clear sky
Tuatapere,NZ,-46.1333,167.6833,55.99,80,55,1.01,broken clouds
Minna,NG,9.6139,6.5569,82.4,65,40,19.57,scattered clouds
Kjollefjord,NO,70.9457,27.3465,26.6,59,40,34.52,scattered clouds
Salinas,US,36.6777,-121.6555,50,76,90,2.42,overcast clouds
Pathein,MM,16.7833,94.7333,96.91,21,29,14.56,scattered clouds
Ocho Rios,JM,18.4025,-77.1048,69.01,95,0,5.88,clear sky
Victoria,HK,22.2855,114.1577,82.99,76,9,8.01,clear sky
Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,16.11,broken clouds
Kavieng,PG,-2.5744,150.7967,83.64,68,53,4.47,broken clouds
Buala,SB,-8.145,159.5921,80.65,76,78,0.47,light rain
Taungdwingyi,MM,20.0167,95.55,103.62,9,7,9.28,clear sky
Dmitriyevka,RU,54.75,55.3333,35.6,55,90,20.13,overcast clouds
Batagay-Alyta,RU,67.8006,130.4114,-17.21,79,99,2.95,overcast clouds
Mastic Beach,US,40.7668,-72.8521,43,70,90,0.4,overcast clouds
Ketchikan,US,55.3422,-131.6461,35.6,100,90,3.85,light rain
Gayny,RU,60.3071,54.3241,26.49,84,100,8.72,overcast clouds
Xining,CN,36.6167,101.7667,56.17,30,30,10.38,scattered clouds
Kumi,KR,36.1136,128.336,60.8,51,20,6.91,few clouds
Angoche,MZ,-16.2325,39.9086,86.14,65,14,3.29,few clouds
Gao,ML,16.6362,1.637,88.09,8,0,10.92,clear sky
Zhigansk,RU,66.7697,123.3711,-14.8,89,100,14.03,overcast clouds
Klaksvik,FO,62.2266,-6.589,42.8,100,75,8.05,broken clouds
Gizo,SB,-8.103,156.8419,82.99,71,22,3.02,few clouds
Saint-Augustin,CA,51.226,-58.6502,6.33,81,66,3,broken clouds
Thompson,CA,55.7435,-97.8558,24.8,63,1,8.05,clear sky
Saint-Gaudens,FR,43.0833,0.6667,43,81,75,2.3,broken clouds
Sabang,ID,5.8933,95.3214,83.5,69,40,13.62,scattered clouds
Marshall,US,34.3834,-86.3333,63,94,90,8.05,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,50,62,40,4.61,scattered clouds
Hofn,IS,64.2539,-15.2082,35.6,93,20,3.44,fog
Katsuura,JP,35.1333,140.3,60.01,65,50,3,scattered clouds
Hutchinson,US,38.0608,-97.9298,37.4,75,90,18.41,overcast clouds
Oulu,FI,65.0124,25.4682,19,67,0,16.11,light snow
Monrovia,LR,6.3005,-10.7969,77,94,75,5.95,mist
Goes,NL,51.5042,3.8889,43,95,100,5.01,overcast clouds
Namwala,ZM,-15.7504,26.4384,77.09,66,0,8.32,clear sky
Zwedru,LR,6.0667,-8.1281,78.12,81,99,2.17,overcast clouds
Arlit,NE,18.7369,7.3853,92.05,9,2,13.8,clear sky
Mahebourg,MU,-20.4081,57.7,86,58,40,11.5,scattered clouds
Vostok,RU,46.4856,135.8833,21.42,96,99,3.94,overcast clouds
Shimoda,JP,34.6667,138.95,62.01,67,40,2.3,scattered clouds
Safonovo,RU,55.15,33.2167,33.12,88,93,7.4,overcast clouds
Tura,IN,25.5198,90.2201,92.16,11,0,5.93,clear sky
Longyearbyen,SJ,78.2186,15.6401,10.4,67,75,11.5,light snow
Bilma,NE,18.6853,12.9164,93.29,9,2,11.39,clear sky
Blackwater,AU,-23.5833,148.8833,75.09,83,100,9.01,overcast clouds
Hamilton,US,39.1834,-84.5333,55.4,94,75,5.75,broken clouds
Alofi,NU,-19.0595,-169.9187,77,94,100,3.44,light rain
La Union,PE,-5.4,-80.75,77.83,59,100,5.93,overcast clouds
Siocon,PH,7.7061,122.1353,84,81,56,8.43,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.2,52,95,20.13,overcast clouds
Gombong,ID,-7.6072,109.5142,82.63,80,99,6.71,moderate rain
Urusha,RU,54.05,122.9,22.48,80,100,4.36,overcast clouds
Tasiilaq,GL,65.6145,-37.6368,35.17,93,100,14.07,light snow
Sitka,US,57.0531,-135.33,37.4,65,75,6.91,broken clouds
Fuling,CN,29.7022,107.3919,75.06,68,40,5.48,scattered clouds
Sorland,NO,67.667,12.6934,33.8,75,0,14.97,clear sky
Kensington,AU,-33.9167,151.2167,69.8,94,75,19.57,light rain
Chimbote,PE,-9.0853,-78.5783,71.49,79,95,5.66,overcast clouds
Tazovskiy,RU,67.4667,78.7,-17.34,82,11,2.1,few clouds
Yar-Sale,RU,66.8333,70.8333,-6.54,93,99,6.13,overcast clouds
Agadez,NE,19.75,10.25,87.01,10,0,13.06,clear sky
Eureka,US,40.8021,-124.1637,53.01,61,90,10,overcast clouds
Whyalla,AU,-33.0333,137.5833,77,53,0,17.27,clear sky
Birao,CF,10.2849,22.7882,93.58,33,99,6.6,overcast clouds
Teguldet,RU,57.3064,88.1667,21.07,86,100,9.55,overcast clouds
Borkenes,NO,68.774,16.1739,27,90,0,4,clear sky
Acajutiba,BR,-11.6622,-38.0172,70.65,93,0,2.71,clear sky
Truth Or Consequences,US,33.1284,-107.2528,44.6,26,1,9.22,clear sky
Tsagan Aman,RU,47.5639,46.7218,42.01,82,100,1.99,overcast clouds
Oistins,BB,13.0667,-59.5333,77,65,40,13.8,scattered clouds
Rajec,SK,49.089,18.6401,41,80,75,9.22,light snow
Souillac,MU,-20.5167,57.5167,86,58,40,11.5,scattered clouds
Dagana,MR,16.5165,-15.5068,66.2,52,0,7.11,clear sky
Fort Frances,CA,48.5999,-93.4003,30.2,59,1,6.91,clear sky
Severnyy,RU,50.677,36.5532,32,93,90,6.71,snow
Leningradskiy,RU,69.3833,178.4167,-18.92,88,40,6.82,scattered clouds
Salvacion,PH,7.9833,126.1333,80.24,81,99,6.04,overcast clouds
Bashtanka,UA,47.4072,32.4387,39.2,87,90,8.95,overcast clouds
Henties Bay,NA,-22.116,14.2845,66,80,7,4,clear sky
Dera Bugti,PK,29.0307,69.151,90.91,13,59,11.18,broken clouds
Ponta Grossa,BR,-25.095,-50.1619,60.53,98,99,2.66,overcast clouds
Hambantota,LK,6.1241,81.1185,84.2,74,90,6.91,light rain
Grindavik,IS,63.8424,-22.4338,46.4,100,90,20.71,light intensity drizzle
Coquimbo,CL,-29.9533,-71.3436,55.4,88,0,4.61,clear sky
Bata,GQ,1.8639,9.7658,84.2,79,20,3.44,few clouds
Concepcion Del Uruguay,AR,-32.4825,-58.2372,55,88,0,1.01,clear sky
Mandalgovi,MN,45.7625,106.2708,30.15,37,100,15.26,overcast clouds
Itoman,JP,26.1247,127.6694,75.2,73,75,9.22,broken clouds
Haimen,CN,23.1935,116.6142,80.6,61,20,6.71,few clouds
Shibetsu,JP,43.659,145.132,33.8,51,75,13.8,light snow
Ocos,GT,14.5094,-92.1933,63,96,4,7.2,clear sky
Bengkulu,ID,-3.8004,102.2655,84.18,66,97,6.44,moderate rain
Jacqueville,CI,5.2052,-4.4146,73.4,88,75,5.75,light rain
Merauke,ID,-8.4667,140.3333,82.13,80,100,9.51,overcast clouds
Kilindoni,TZ,-7.9139,39.6668,83.73,70,72,3.87,light rain
Kloulklubed,PW,7.0419,134.2556,84.2,74,75,6.91,broken clouds
Isangel,VU,-19.55,169.2667,77.92,85,4,14.74,clear sky
Calama,CL,-22.4667,-68.9333,48.2,66,0,12.66,clear sky
Batemans Bay,AU,-35.7167,150.1833,66.99,85,100,3,light rain
Guadix,ES,37.2993,-3.1392,45,53,0,5.99,clear sky
Buraydah,SA,26.326,43.975,87.8,35,0,2.3,clear sky
Nantucket,US,41.2835,-70.0995,39,89,88,5.59,overcast clouds
Charlottesville,US,38.0293,-78.4767,44.6,93,90,3.44,moderate rain
Waitati,NZ,-45.75,170.5667,54,79,4,3,clear sky
Udimskiy,RU,61.1417,45.9144,30.11,98,100,0.83,snow
De Aar,ZA,-30.6497,24.0123,78.48,36,0,12.84,clear sky
Lorengau,PG,-2.0226,147.2712,81.75,74,88,2.33,light rain
Port Lincoln,AU,-34.7333,135.8667,71.37,66,0,10.36,clear sky
Carutapera,BR,-1.195,-46.02,76.01,93,81,4.72,broken clouds
Kapenguria,KE,1.2511,35.0895,73.8,44,93,9.08,light rain
San Policarpo,PH,12.1791,125.5072,83.1,75,5,8.99,clear sky
Mazagao,BR,-0.115,-51.2894,75.2,94,20,3.44,few clouds
Nemuro,JP,43.3236,145.575,33.8,51,75,13.8,broken clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,51.8,54,0,4.61,clear sky
Sao Filipe,CV,14.8961,-24.4956,71.78,74,0,6.13,clear sky
Taman,RU,45.2117,36.7161,50,66,75,17.9,broken clouds
Betare Oya,CM,5.6,14.0833,82.69,57,94,3.15,overcast clouds
Inongo,CD,-1.95,18.2667,78.64,75,85,1.74,overcast clouds
Tomatlan,MX,19.9333,-105.25,59.07,75,0,2.1,clear sky
Hualmay,PE,-11.0964,-77.6139,69.87,84,87,7.34,overcast clouds
Otane,NZ,-39.8833,176.6333,59,71,65,1.01,broken clouds
Alugan,PH,12.2188,125.4808,82.94,75,5,8.59,clear sky
Talara,PE,-4.5772,-81.2719,76.96,74,100,9.93,overcast clouds
Ust-Nera,RU,64.5667,143.2,-1.86,99,96,6.38,overcast clouds
Girne,CY,35.3417,33.3167,59,63,40,18.41,scattered clouds
Grand Gaube,MU,-20.0064,57.6608,84,65,0,7,clear sky
Balkanabat,TM,39.5108,54.3671,78.64,26,4,8.66,clear sky
Nokaneng,BW,-19.6667,22.2667,84.83,41,0,7.29,clear sky
Broken Hill,AU,-31.95,141.4333,77,38,40,13.8,scattered clouds
Chokurdakh,RU,70.6333,147.9167,-27.33,90,100,12.95,overcast clouds
Bilibino,RU,68.0546,166.4372,-18,86,0,3.15,clear sky
Endicott,US,42.0984,-76.0494,39,93,90,5.75,mist
Baykit,RU,61.67,96.37,23.99,87,100,11.23,light snow
Kargasok,RU,59.0556,80.8572,30.16,90,99,9.44,overcast clouds
Zonguldak,TR,41.25,31.8333,34.21,96,100,7.02,light snow
Jalingo,NG,8.8833,11.3667,92.16,43,90,8.43,overcast clouds
Lima,PE,-12.0432,-77.0282,73,83,0,5.75,clear sky
Harper,LR,4.375,-7.7169,79.75,84,100,3.06,light rain
Goderich,CA,43.7501,-81.7165,35.6,80,100,9.22,overcast clouds
Mount Isa,AU,-20.7333,139.5,91.4,24,75,14.97,broken clouds
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.21,90,100,6.89,overcast clouds
Bull Savanna,JM,17.8868,-77.5902,70.07,83,0,8.48,clear sky
Boa Vista,BR,2.8197,-60.6733,77,73,0,9.22,clear sky
Coahuayana,MX,18.7333,-103.6833,63.72,89,0,3.2,clear sky
Northam,GB,51.0333,-4.2167,43,94,70,4,broken clouds
Zhangjiakou,CN,40.81,114.8794,43.77,60,99,8.55,overcast clouds
Apulia,PT,41.4851,-8.7641,55.99,47,0,8.05,clear sky
Geraldton,AU,-28.7667,114.6,86,48,0,17.27,clear sky
Jacareacanga,BR,-6.2222,-57.7528,72.61,98,100,4.56,overcast clouds
Srednekolymsk,RU,67.45,153.6833,-4.07,88,100,4.32,overcast clouds
Alta Floresta,BR,-9.8756,-56.0861,70.48,99,100,0.98,overcast clouds
Snezhnogorsk,RU,69.1933,33.2531,23,63,40,6.71,light snow
Korla,CN,41.7597,86.1469,46.24,34,100,8.37,overcast clouds
Breytovo,RU,58.2993,37.8617,31.32,93,98,8.5,overcast clouds
